#Add comments here
,local_version,cluster_version,status
AutoROM,,0.4.2,local missing
AutoROM.accept-rom-license,,0.4.2,local missing
Automat,20.2.0,,cluster missing
Babel,2.9.1,,cluster missing
Brotli,1.0.9,,cluster missing
ConfigSpace,,0.4.18,local missing
Cython,,0.29.23,local missing
Deprecated,1.2.13,1.2.13,matching
FLAML,,0.6.7,local missing
Flask,2.0.3,2.0.2,mismatch
Flask-Compress,1.10.1,,cluster missing
Flask-Cors,3.0.10,3.0.10,matching
GPy,,1.10.0,local missing
GitPython,3.1.26,3.1.24,mismatch
HEBO,,0.1.0,local missing
HeapDict,,1.0.1,local missing
Jinja2,3.0.3,3.0.3,matching
Keras-Preprocessing,,1.1.2,local missing
Mako,,1.1.6,local missing
Markdown,,3.3.6,local missing
MarkupSafe,2.1.0,2.0.1,mismatch
PettingZoo,,1.11.1,local missing
Pillow,9.0.1,8.4.0,mismatch
Protego,0.2.0,,cluster missing
PyDispatcher,2.0.5,,cluster missing
PyJWT,2.1.0,1.7.1,mismatch
PyNaCl,,1.4.0,local missing
PySocks,1.7.1,1.7.1,matching
PyWavelets,1.4.1,1.2.0,mismatch
PyYAML,6.0,6.0,matching
Pygments,2.11.2,2.10.0,mismatch
Pyro4,,4.81,local missing
QtPy,2.0.1,1.11.3,mismatch
SQLAlchemy,,1.4.28,local missing
Scrapy,2.5.1,,cluster missing
Send2Trash,1.8.0,1.8.0,matching
SuperSuit,,2.6.6,local missing
Theano,1.0.5,,cluster missing
Twisted,22.1.0,,cluster missing
Werkzeug,2.0.3,2.0.2,mismatch
absl-py,,0.15.0,local missing
adal,,1.2.7,local missing
aioboto3,,8.3.0,local missing
aiobotocore,,1.2.2,local missing
aiohttp,3.7.4.post0,3.8.1,mismatch
aiohttp-cors,0.7.0,0.7.0,matching
aioitertools,,0.8.0,local missing
aioredis,1.3.1,1.3.1,matching
aiosignal,1.2.0,1.2.0,matching
ale-py,,0.7.3,local missing
alembic,,1.4.1,local missing
anyio,3.5.0,3.4.0,mismatch
applicationinsights,,0.11.10,local missing
argcomplete,,1.12.3,local missing
argon2-cffi,21.3.0,21.3.0,matching
argon2-cffi-bindings,21.2.0,21.2.0,matching
asgiref,,3.4.1,local missing
asn1crypto,1.4.0,,cluster missing
asttokens,2.0.5,,cluster missing
astunparse,,1.6.3,local missing
async-timeout,3.0.1,4.0.2,mismatch
attrs,21.4.0,21.2.0,mismatch
autocfg,,0.0.8,local missing
autogluon.core,,0.1.0,local missing
autograd,,1.3,local missing
autopage,,0.4.0,local missing
ax-platform,,0.2.1,local missing
azure-cli-core,,2.22.0,local missing
azure-cli-telemetry,,1.0.6,local missing
azure-common,1.1.27,1.1.27,matching
azure-core,1.17.0,1.21.1,mismatch
azure-mgmt-compute,,14.0.0,local missing
azure-mgmt-core,,1.3.0,local missing
azure-mgmt-msi,,1.0.0,local missing
azure-mgmt-network,,10.2.0,local missing
azure-mgmt-resource,,13.0.0,local missing
azure-storage-blob,12.8.1,,cluster missing
backcall,0.2.0,0.2.0,matching
backoff,1.10.0,1.10.0,matching
backports.functools-lru-cache,1.6.4,,cluster missing
bayesian-optimization,,1.2.0,local missing
bcrypt,,3.2.0,local missing
beautifulsoup4,4.10.0,,cluster missing
black,22.1.0,,cluster missing
bleach,4.1.0,4.1.0,matching
blessed,1.19.1,1.19.0,mismatch
blist,,1.3.6,local missing
bokeh,,2.4.2,local missing
boto3,1.18.27,1.20.26,mismatch
botocore,1.21.27,1.23.26,mismatch
botorch,,0.5.0,local missing
brotlipy,0.7.0,0.7.0,matching
bs4,0.0.1,,cluster missing
cachetools,5.2.0,4.2.4,mismatch
cairocffi,1.3.0,,cluster missing
certifi,2021.10.8,2021.10.8,matching
cffi,1.14.6,1.14.6,matching
chardet,3.0.4,4.0.0,mismatch
charset-normalizer,2.0.4,2.0.9,mismatch
chex,,0.1.0,local missing
clang,,5.0,local missing
click,8.0.4,8.0.3,mismatch
cliff,,3.10.0,local missing
cloudpickle,2.2.0,2.0.0,mismatch
cma,,2.7.0,local missing
cmaes,,0.8.2,local missing
cmd2,,2.3.3,local missing
colorama,0.4.4,0.4.4,matching
colorful,0.5.4,0.5.4,matching
colorlog,,6.6.0,local missing
conda,4.11.0,4.11.0,matching
conda-package-handling,1.7.3,1.7.3,matching
configparser,,5.2.0,local missing
constantly,15.1.0,,cluster missing
cryptography,3.4.8,3.3.2,mismatch
cssselect,1.1.0,,cluster missing
cx-Oracle,8.3.0,,cluster missing
cycler,0.11.0,0.11.0,matching
dask,,2021.11.0,local missing
databricks-cli,,0.16.2,local missing
debugpy,1.5.1,1.5.1,matching
decorator,5.1.1,5.1.0,mismatch
decord,,0.6.0,local missing
defusedxml,0.7.1,0.7.1,matching
dill,,0.3.3,local missing
distributed,,2021.11.0,local missing
dm-tree,0.1.7,0.1.6,mismatch
docker,,5.0.3,local missing
docker-pycreds,,0.4.0,local missing
docutils,,0.18.1,local missing
domino-data-capture,0.1.1,,cluster missing
dominodatalab,1.0.6,,cluster missing
